ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC

School Name,State Name [Public School] Latest available year,State Name [Public School] 2016-17,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Location City [Public School] 2016-17,Location State Abbr [Public School] 2016-17,Location ZIP [Public School] 2016-17,Grade 12 offered [Public School] 2016-17,Grade 11 offered [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2016-17
FLATONIA EL,Texas,TEXAS,481928001788,FLATONIA,TX ,78941,2-No,2-No,11.71
FLATONIA SECONDARY,Texas,TEXAS,481928001789,FLATONIA,TX ,78941,1-Yes,1-Yes,9.62
FLATWOODS ELEMENTARY,Virginia,VIRGINIA,510219000894,Jonesville,VA ,24263,2-No,2-No,15.48
FLATWOODS ELEMENTARY SCHOOL,Alabama,ALABAMA,010339001279,Northport,AL ,35473,2-No,2-No,17.77
FLATWOODS ELEMENTARY SCHOOL,West Virginia,WEST VIRGINIA,540012000065,FLATWOODS,WV ,26621,2-No,2-No,17.13
FLEETA SCHOOL,Alabama,ALABAMA,010093000359,Opp,AL ,36467,2-No,2-No,12.83
FLEETRIDGE ELEM.,Missouri,MISSOURI,292607001519,KANSAS CITY,MO ,64133,2-No,2-No,14.57
FLEETWOOD ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,341095001158,MOUNT LAUREL,NJ ,08054,2-No,2-No,13.80
FLEETWOOD ELEMENTARY SCHOOL,New York,NEW YORK,362781003770,CHESTNUT RIDGE,NY ,10977,2-No,2-No,18.90
FLEETWOOD MS,Pennsylvania,PENNSYLVANIA,420978006311,Fleetwood,PA ,19522,2-No,2-No,15.42
FLEETWOOD SHS,Pennsylvania,PENNSYLVANIA,420978005023,Fleetwood,PA ,19522,1-Yes,1-Yes,14.41
FLEMING COUNTY HIGH SCHOOL,Kentucky,KENTUCKY,210192000398,Flemingsburg,KY ,41041,1-Yes,1-Yes,16.11
FLEMING ELEMENTARY SCHOOL,Colorado,COLORADO,080393000511,FLEMING,CO ,80728,2-No,2-No,12.27
FLEMING HIGH SCHOOL,Colorado,COLORADO,080393000512,FLEMING,CO ,80728,1-Yes,1-Yes,8.32
FLEMING ISLAND ELEMENTARY SCHOOL,Florida,FLORIDA,120030003037,ORANGE PARK,FL ,32003,2-No,2-No,12.65
FLEMING ISLAND HIGH SCHOOL,Florida,FLORIDA,120030004062,ORANGE PARK,FL ,32003,1-Yes,1-Yes,20.15
FLEMING MIDDLE,Texas,TEXAS,482364002454,HOUSTON,TX ,77026,2-No,2-No,14.93
FLEMING MIDDLE SCHOOL,Oregon,OREGON,410690000466,Grants Pass,OR ,97526,2-No,2-No,26.20
FLEMING NEON MIDDLE SCHOOL,Kentucky,KENTUCKY,210336000894,Neon,KY ,41840,2-No,2-No,16.11
FLEMINGSBURG ELEMENTARY SCHOOL,Kentucky,KENTUCKY,210192000399,Flemingsburg,KY ,41041,2-No,2-No,18.03
FLEMINGTON ELEMENTARY SCHOOL,West Virginia,WEST VIRGINIA,540138001051,FLEMINGTON,WV ,26347,2-No,2-No,15.01
FLETCHER COMMUNITY SCHOOL,Colorado,COLORADO,080234006424,AURORA,CO ,80010,2-No,2-No,13.34
FLETCHER DRIVE ELEMENTARY,California,CALIFORNIA,062271003012,Los Angeles,CA ,90065,2-No,2-No,24.64
FLETCHER EL,Texas,TEXAS,480967004642,BEAUMONT,TX ,77701,2-No,2-No,16.28
FLETCHER ELEMENTARY,California,CALIFORNIA,063432005459,San Diego,CA ,92123,2-No,2-No,24.88
FLETCHER ELEMENTARY,North Carolina,NORTH CAROLINA,370210000920,Fletcher,NC ,28732,2-No,2-No,14.84
FLETCHER ELEMENTARY SCHOOL,Vermont,VERMONT,500408000134,Cambridge,VT ,05444,2-No,2-No,12.34
FLETCHER ES,Oklahoma,OKLAHOMA,401170000549,Fletcher,OK ,73541,2-No,2-No,15.90
FLETCHER HILLS ELEMENTARY,California,CALIFORNIA,062025002428,El Cajon,CA ,92020,2-No,2-No,27.50
FLETCHER HS,Oklahoma,OKLAHOMA,401170029648,Fletcher,OK ,73541,1-Yes,1-Yes,12.39
FLETCHER JHS,Oklahoma,OKLAHOMA,401170000550,Fletcher,OK ,73541,2-No,2-No,13.36
FLETCHER MANDARIN LANGUAGE & GATE ACADEMY,California,CALIFORNIA,062865004429,Orange,CA ,92865,2-No,2-No,22.83
FLETCHER W. JUDSON SCHOOL,Connecticut,CONNECTICUT,090489001003,Watertown,CT ,06795,2-No,2-No,13.15
FLETCHER WALKER ELEMENTARY,California,CALIFORNIA,064230006922,Westwood,CA ,96137,2-No,2-No,30.67
FLETCHER/MAYNARD ACADEMY,Massachusetts,MASSACHUSETTS,250327001518,Cambridge,MA ,02139,2-No,2-No,8.70
FLEX,Connecticut,CONNECTICUT,090372001399,Winsted,CT ,06098,2-No,2-No,8.00
FLEX - 45,South Dakota,SOUTH DAKOTA,466627001123,Sioux Falls,SD ,57105,1-Yes,1-Yes,6.06
FLEX ACADEMY,MINNESOTA,MINNESOTA,270040504794,RICHFIELD,MN ,55423,2-No,2-No,14.66
FLEX ACADEMY,Wisconsin,WISCONSIN,550816002959,Little Chute,WI ,54140,2-No,2-No,18.75
FLEX HIGH SCHOOL,OHIO,OHIO,390157405852,Columbus,OH ,43215,1-Yes,1-Yes,24.00
FLEX HIGH SCHOOL OF PONTIAC,Michigan,MICHIGAN,260029201723,PONTIAC,MI ,48342,1-Yes,1-Yes,33.00
FLEX PROGRAM,Illinois,ILLINOIS,170018406225,Plano,IL ,60545,1-Yes,1-Yes,†
FLEXIBLE STUDENT SUPPORT,Maryland,MARYLAND,240021001350,Westminster,MD ,21157,1-Yes,1-Yes,†
FLEXTECH HIGH SCHOOL,Michigan,MICHIGAN,260098408257,Brighton,MI ,48114,1-Yes,1-Yes,17.82
FLICKINGER ELEMENTARY SCHOOL,Michigan,MICHIGAN,263447006995,UTICA,MI ,48317,2-No,2-No,18.36
FLIGHT PROGRAM,MINNESOTA,MINNESOTA,270032705061,LYLE,MN ,55953,2-No,2-No,†
FLINN ELEMENTARY SCHOOL,West Virginia,WEST VIRGINIA,540060000393,CHARLESTON,WV ,25312,2-No,2-No,17.36
FLINT AREA GNET PROGRAM,Georgia,†,130156002853,†,†,†,†,†,†
FLINT HILL ELEMENTARY,Virginia,VIRGINIA,510126000469,Vienna,VA ,22181,2-No,2-No,18.21
FLINT HILL ELEMENTARY,MISSOURI,MISSOURI,290837003289,WENTZVILLE,MO ,63385,2-No,2-No,14.30
FLINT HILL ELEMENTARY,Georgia,GEORGIA,130393001462,Oxford,GA ,30054,2-No,2-No,12.45
FLINT LAKE ELEMENTARY SCHOOL,Indiana,INDIANA,181197000163,Valparaiso,IN ,46383,2-No,2-No,20.81
FLINT SPRINGS ELEMENTARY,Indiana,INDIANA,180471002093,Huntington,IN ,46750,2-No,2-No,14.34
FLINTHILLS HIGH SCHOOL,Kansas,KANSAS,201122001930,Rosalia,KS ,67132,1-Yes,1-Yes,12.35
FLINTHILLS INTERMEDIATE SCHOOL,Kansas,KANSAS,201122001338,Rosalia,KS ,67132,2-No,2-No,16.27
FLINTHILLS MIDDLE SCHOOL,Kansas,KANSAS,201122001951,Rosalia,KS ,67132,2-No,2-No,20.45
FLINTHILLS PRIMARY SCHOOL,Kansas,KANSAS,201122001337,Cassoday,KS ,66842,2-No,2-No,11.25
FLINTSTONE ELEMENTARY,Maryland,MARYLAND,240051001030,Oxon Hill,MD ,20745,2-No,2-No,15.58
FLINTSTONE ELEMENTARY,Maryland,MARYLAND,240003000014,Flintstone,MD ,21530,2-No,2-No,16.64
FLINTVILLE SCHOOL,Tennessee,TENNESSEE,470249000884,Flintville,TN ,37335,2-No,2-No,16.03
FLIPPEN ELEMENTARY SCHOOL,Georgia,GEORGIA,130282002918,McDonough,GA ,30253,2-No,2-No,14.29
FLIPPIN ELEMENTARY SCHOOL,Arkansas,ARKANSAS,050615000330,FLIPPIN,AR ,72634,2-No,2-No,15.11
FLIPPIN HIGH SCHOOL,Arkansas,ARKANSAS,050615000331,FLIPPIN,AR ,72634,1-Yes,1-Yes,9.95
FLIPPIN MIDDLE SCHOOL,Arkansas,ARKANSAS,050615000277,FLIPPIN,AR ,72634,2-No,2-No,10.19
FLOCKTOWN-KOSSMANN ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,341713004542,LONG VALLEY,NJ ,07853,2-No,2-No,11.44
FLOMATON ELEMENTARY SCHOOL,Alabama,ALABAMA,010135001504,Flomaton,AL ,36441,2-No,2-No,18.66
FLOMATON HIGH SCHOOL,Alabama,ALABAMA,010135000487,Flomaton,AL ,36441,1-Yes,1-Yes,19.60
FLOOD BROOK USD #301,Vermont,VERMONT,500038600337,Londonderry,VT ,05148,2-No,2-No,13.44
FLOODWOOD ALT. LEARNING PROGRAM,Minnesota,MINNESOTA,271221004469,FLOODWOOD,MN ,55736,1-Yes,1-Yes,†
FLOODWOOD ELEMENTARY,Minnesota,MINNESOTA,271221000588,FLOODWOOD,MN ,55736,2-No,2-No,13.53
FLOODWOOD SECONDARY,Minnesota,MINNESOTA,271221000589,FLOODWOOD,MN ,55736,1-Yes,1-Yes,14.15
FLOR DEL SOL - CLOSED,Arizona,ARIZONA,040168001426,Phoenix,AZ ,85033,–,–,†
FLORA ELEMENTARY SCHOOL,ILLINOIS,ILLINOIS,171540006376,Flora,IL ,62839,2-No,2-No,16.27
FLORA HIGH SCHOOL,Illinois,ILLINOIS,171540001841,Flora,IL ,62839,1-Yes,1-Yes,14.31
FLORA M. SINGER ELEMENTARY,Maryland,MARYLAND,240048000873,Silver Spring,MD ,20902,2-No,2-No,11.91
FLORA RIDGE ELEMENTARY SCHOOL,Florida,FLORIDA,120147005055,KISSIMMEE,FL ,34741,2-No,2-No,14.78
FLORA S. CURTIS SCHOOL,Rhode Island,RHODE ISLAND,440084000193,Pawtucket,RI ,02861,2-No,2-No,14.21
FLORA THEW ELEMENTARY SCHOOL,Arizona,ARIZONA,040831000786,Tempe,AZ ,85281,2-No,2-No,19.23
FLORA VISTA ELEMENTARY,California,CALIFORNIA,061275001435,Encinitas,CA ,92024,2-No,2-No,24.70
FLORAL AVENUE ELEMENTARY SCHOOL,Florida,FLORIDA,120159001756,BARTOW,FL ,33830,2-No,2-No,14.42
FLORAL CITY ELEMENTARY SCHOOL,Florida,FLORIDA,120027000309,FLORAL CITY,FL ,34436,2-No,2-No,13.07
FLORAL PARK MEMORIAL HIGH SCHOOL,New York,NEW YORK,362652003627,FLORAL PARK,NY ,11001,1-Yes,1-Yes,15.76
FLORAL PARK-BELLEROSE SCHOOL,New York,NEW YORK,361116000885,FLORAL PARK,NY ,11001,2-No,2-No,14.79
FLORAL STREET SCHOOL,Massachusetts,MASSACHUSETTS,251077001047,Shrewsbury,MA ,01545,2-No,2-No,20.53
FLORALA HIGH SCHOOL,Alabama,ALABAMA,010093000360,Florala,AL ,36442,1-Yes,1-Yes,14.89
FLORANADA ELEMENTARY SCHOOL,Florida,FLORIDA,120018000207,FORT LAUDERDALE,FL ,33334,2-No,2-No,15.36
FLORENCE AVENUE ELEMENTARY,California,CALIFORNIA,062271003013,Los Angeles,CA ,90001,2-No,2-No,22.82
FLORENCE AVENUE ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,340768005965,IRVINGTON,NJ ,07111,2-No,2-No,15.70
FLORENCE B MATHIS ELEMENTARY,Alabama,ALABAMA,010027001713,Foley,AL ,36535,2-No,2-No,20.97
FLORENCE BOWSER ELEMENTARY,Virginia,VIRGINIA,510371001615,Suffolk,VA ,23435,2-No,2-No,16.26
FLORENCE BRASSER SCHOOL,New York,NEW YORK,361188000949,ROCHESTER,NY ,14624,2-No,2-No,13.06
FLORENCE CHAPEL MIDDLE,South Carolina,SOUTH CAROLINA,450360000997,Duncan,SC ,29334,2-No,2-No,14.64
FLORENCE CRITTENTON HIGH SCHOOL,Colorado,COLORADO,080336001575,DENVER,CO ,80223,1-Yes,1-Yes,14.40
FLORENCE DRAKE ELEMENTARY,Nevada,NEVADA,320048000214,Sparks,NV ,89431,2-No,2-No,13.78
FLORENCE E. RATA,California,CALIFORNIA,061455007964,Fresno,CA ,93711,1-Yes,1-Yes,5.88
FLORENCE EL,Texas,TEXAS,483039003403,MESQUITE,TX ,75150,2-No,2-No,16.75
FLORENCE EL,Texas,TEXAS,482526002820,SOUTHLAKE,TX ,76092,2-No,2-No,15.00
FLORENCE EL,Texas,TEXAS,481932001790,FLORENCE,TX ,76527,2-No,2-No,13.94
FLORENCE ELEMENTARY,North Carolina,NORTH CAROLINA,370192000822,High Point,NC ,27265,2-No,2-No,18.42
FLORENCE ELEMENTARY,California,CALIFORNIA,063432005460,San Diego,CA ,92103,2-No,2-No,20.33
FLORENCE ELEMENTARY,Wisconsin,WISCONSIN,550465000489,Florence,WI ,54121,2-No,2-No,11.36
FLORENCE ELEMENTARY - 02,South Dakota,SOUTH DAKOTA,462454000208,Florence,SD ,57235,2-No,2-No,15.11
FLORENCE ELEMENTARY SCHOOL,Mississippi,MISSISSIPPI,280383001163,Florence,MS ,39073,2-No,2-No,17.72
FLORENCE ELEMENTARY SCHOOL,Kentucky,KENTUCKY,210051000085,Florence,KY ,41042,2-No,2-No,14.70
FLORENCE ELEMENTARY SCHOOL,Nebraska,NEBRASKA,317482001379,OMAHA,NE ,68112,2-No,2-No,15.19
FLORENCE FRESHMAN CENTER,Alabama,ALABAMA,010153000531,Florence,AL ,35630,2-No,2-No,18.06
FLORENCE GRIFFITH JOYNER ELEMENTARY,California,CALIFORNIA,062271003244,Los Angeles,CA ,90002,2-No,2-No,22.32
FLORENCE H S,Texas,TEXAS,481932001791,FLORENCE,TX ,76527,1-Yes,1-Yes,11.20
FLORENCE HIGH,Wisconsin,WISCONSIN,550465000490,Florence,WI ,54121,1-Yes,1-Yes,8.48
FLORENCE HIGH SCHOOL,Arizona,ARIZONA,040292000228,Florence,AZ ,85132,1-Yes,1-Yes,19.48
FLORENCE HIGH SCHOOL,Alabama,ALABAMA,010153000528,Florence,AL ,35630,1-Yes,1-Yes,14.94
FLORENCE HIGH SCHOOL,Mississippi,MISSISSIPPI,280383001075,Florence,MS ,39073,1-Yes,1-Yes,17.60
FLORENCE HIGH SCHOOL - 01,South Dakota,SOUTH DAKOTA,462454000209,Florence,SD ,57235,1-Yes,1-Yes,10.29
FLORENCE HILL EL,Texas,TEXAS,482142002151,GRAND PRAIRIE,TX ,75052,2-No,2-No,14.29
FLORENCE HOWARD ELEMENTARY SCHOOL,Alabama,ALABAMA,010237001030,Mobile,AL ,36603,2-No,2-No,17.85
FLORENCE J SCOTT EL,Texas,TEXAS,483774004231,ROMA,TX ,78584,2-No,2-No,16.34
FLORENCE JR./SR. HIGH SCHOOL,Colorado,COLORADO,080396000514,FLORENCE,CO ,81226,1-Yes,1-Yes,13.86
FLORENCE K-8,Arizona,ARIZONA,040292000227,Florence,AZ ,85132,2-No,2-No,19.86
FLORENCE L. WALTHER SCHOOL,New Jersey,NEW JERSEY,340918001098,LUMBERTON,NJ ,08048,2-No,2-No,11.27
FLORENCE LEARNING CENTER,Alabama,ALABAMA,010153001644,Florence,AL ,35630,1-Yes,1-Yes,–
FLORENCE M. BURD,New Jersey,NEW JERSEY,340090005324,NEWTON,NJ ,07860,2-No,2-No,11.67
FLORENCE M. GAUDINEER MIDDLE SCHOOL,New Jersey,NEW JERSEY,341563005700,Springfield,NJ ,07081,2-No,2-No,11.95
FLORENCE MARKOFER ELEMENTARY,California,CALIFORNIA,061233001406,Elk Grove,CA ,95624,2-No,2-No,22.89
FLORENCE MIDDLE,Wisconsin,WISCONSIN,550465002360,Florence,WI ,54121,2-No,2-No,9.52
FLORENCE MIDDLE,Texas,TEXAS,481932021552,FLORENCE,TX ,76527,2-No,2-No,12.64
FLORENCE MIDDLE SCHOOL,Alabama,ALABAMA,010153000536,Florence,AL ,35630,2-No,2-No,16.27
FLORENCE MIDDLE SCHOOL,Mississippi,MISSISSIPPI,280383000738,Florence,MS ,39073,2-No,2-No,11.18
FLORENCE MIDDLE SCHOOL - 03,South Dakota,SOUTH DAKOTA,462454000589,Florence,SD ,57235,2-No,2-No,11.50
FLORENCE NIGHTINGALE MIDDLE,California,CALIFORNIA,062271003215,Los Angeles,CA ,90065,2-No,2-No,18.82
FLORENCE RIDEOUT ELEMENTARY SCHOOL,New Hampshire,NEW HAMPSHIRE,330711500456,Wilton,NH ,03086,2-No,2-No,10.75
FLORENCE RIVERFRONT SCHOOL,New Jersey,NEW JERSEY,340522006066,FLORENCE,NJ ,08518,2-No,2-No,13.75
FLORENCE ROCHE SCHOOL,Massachusetts,MASSACHUSETTS,250550000808,Groton,MA ,01450,2-No,2-No,14.41
FLORENCE SAWYER SCHOOL,Massachusetts,MASSACHUSETTS,250831001102,Bolton,MA ,01740,2-No,2-No,13.44
FLORENCE TOWNSHIP MEMORIAL HIGH SCHOOL,New Jersey,NEW JERSEY,340522001082,FLORENCE,NJ ,08518,1-Yes,1-Yes,14.93
FLORENCE V EVANS,New Jersey,NEW JERSEY,340489001068,MARLTON,NJ ,08053,2-No,2-No,9.26
FLORENCE VIRTUAL ACADEMY,Arizona,ARIZONA,040292003195,Florence,AZ ,85132,1-Yes,1-Yes,†
FLORENCE W STILES MIDDLE,Texas,TEXAS,482703012611,LEANDER,TX ,78641,2-No,2-No,17.40
FLORENCE WILSON ELEM,Kansas,KANSAS,200639001600,Garden City,KS ,67846,2-No,2-No,14.44
FLORENCE-CARLTON 6-8,Montana,MONTANA,301110001039,Florence,MT ,59833,2-No,2-No,14.21
FLORENCE-CARLTON EL SCHL,Montana,MONTANA,301110000300,Florence,MT ,59833,2-No,2-No,14.48
FLORENCE-CARLTON HS,Montana,MONTANA,301110000301,Florence,MT ,59833,1-Yes,1-Yes,13.58
FLORES MIDDLE,Texas,TEXAS,484372013056,UVALDE,TX ,78801,2-No,2-No,14.07
FLORESTA ELEMENTARY SCHOOL,Florida,FLORIDA,120177002264,PORT ST LUCIE,FL ,34983,2-No,2-No,16.23
FLORESVILLE ALTER CTR,Texas,TEXAS,481902011378,FLORESVILLE,TX ,78114,–,–,†
FLORESVILLE ALTER CTR,Texas,TEXAS,481935007499,FLORESVILLE,TX ,78114,2-No,1-Yes,1.94
FLORESVILLE ALTERNATIVE CENTER,Texas,TEXAS,483555009444,FLORESVILLE,TX ,78114,2-No,2-No,†
FLORESVILLE ALTERNATIVE CENTER,TEXAS,TEXAS,482106013229,FLORESVILLE,TX ,78114,–,–,†
FLORESVILLE ALTERNATIVE CENTER CHOICE PROGRAM,Texas,TEXAS,483831008682,FLORESVILLE,TX ,78114,1-Yes,1-Yes,†
FLORESVILLE ALTERNATIVE EDUCATION CENTER,Texas,TEXAS,482631007500,SMILEY,TX ,78159,2-No,1-Yes,†
FLORESVILLE CHOICE PROGRAM,Texas,TEXAS,482631009443,FLORESVILLE,TX ,78114,–,–,†
FLORESVILLE CHOICE PROGRAM,Texas,TEXAS,481902011564,FLORESVILLE,TX ,78114,–,–,†
FLORESVILLE H S,Texas,TEXAS,481935001792,FLORESVILLE,TX ,78114,1-Yes,1-Yes,15.69
FLORESVILLE MIDDLE,Texas,TEXAS,481935001794,FLORESVILLE,TX ,78114,2-No,2-No,19.05
FLORESVILLE NORTH EL,Texas,TEXAS,481935012323,FLORESVILLE,TX ,78114,2-No,2-No,15.45
FLORESVILLE SOUTH EL,Texas,TEXAS,481935012576,FLORESVILLE,TX ,78114,2-No,2-No,16.18
FLORIDA A&M UNIVERSITY DEVELOPMENTAL RESEARCH SCHOOL,Florida,FLORIDA,120201402974,TALLAHASSEE,FL ,32305,1-Yes,1-Yes,13.89
FLORIDA AUTISM CHARTER SCHOOL OF EXCELLENCE,Florida,FLORIDA,120087006958,TAMPA,FL ,33617,1-Yes,1-Yes,6.12
FLORIDA AVENUE ELEMENTARY SCHOOL,Louisiana,LOUISIANA,220165001278,Slidell,LA ,70458,2-No,2-No,15.82
FLORIDA CITY ELEMENTARY SCHOOL,Florida,FLORIDA,120039000421,FLORIDA CITY,FL ,33034,2-No,2-No,14.89
FLORIDA CYBER CHARTER ACADEMY,Florida,FLORIDA,120048008228,JACKSONVILLE,FL ,32256,2-No,1-Yes,†
FLORIDA CYBER CHARTER ACADEMY AT CLAY,FLORIDA,FLORIDA,120030008391,JACKSONVILLE,FL ,32256,2-No,2-No,1.38
FLORIDA CYBER CHARTER ACADEMY AT OSCEOLA,Florida,FLORIDA,120147008079,JACKSONVILLE,FL ,32256,1-Yes,1-Yes,†
FLORIDA FUTURES ACADEMY,FLORIDA,FLORIDA,120150008496,WEST PALM BEACH,FL ,33409,1-Yes,1-Yes,30.50
FLORIDA FUTURES ACADEMY SOUTH CAMPUS,FLORIDA,FLORIDA,120150008487,WEST PALM BEACH,FL ,33411,1-Yes,1-Yes,†
FLORIDA INTERNATIONAL ACADEMY,Florida,FLORIDA,120039003556,OPA LOCKA,FL ,33054,2-No,2-No,17.00
FLORIDA MESA ELEMENTARY SCHOOL,Colorado,COLORADO,080348000449,DURANGO,CO ,81303,2-No,2-No,12.90
FLORIDA PANHANDLE TECHNICAL COLLEGE,Florida,FLORIDA,120201007130,CHIPLEY,FL ,32428,2-No,2-No,0.00
FLORIDA PARISHES JUVENILE DETENTION CENTER,LOUISIANA,LOUISIANA,220168010414,Covington,LA ,70433,1-Yes,1-Yes,6.90
FLORIDA PITT-WALLER ECE-8 SCHOOL,Colorado,COLORADO,080336001933,DENVER,CO ,80249,2-No,2-No,18.30
FLORIDA RUFFIN RIDLEY SCHOOL,Massachusetts,MASSACHUSETTS,250315000417,Brookline,MA ,02445,2-No,2-No,11.59
FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,Florida,FLORIDA,120108007882,FT MYERS,FL ,33919,1-Yes,1-Yes,36.45
FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,Florida,FLORIDA,120024007659,PUNTA GORDA,FL ,33950,1-Yes,1-Yes,29.33
FLORIDA STATE HOSPITAL,Florida,FLORIDA,120060002172,CHATTAHOOCHEE,FL ,32324,1-Yes,1-Yes,0.00
FLORIDA STATE UNIVERSITY SCHOOL,Florida,FLORIDA,120201303021,TALLAHASSEE,FL ,32311,1-Yes,1-Yes,12.89
FLORIDA STREET DISCOVERY CENTER,California,CALIFORNIA,060384013223,Banning,CA ,92220,2-No,2-No,†
FLORIDA VIRTUAL ACADEMY AT HILLSBOROUGH COUNTY,FLORIDA,FLORIDA,120087008334,JACKSONVILLE,FL ,32256,1-Yes,1-Yes,143.00
FLORIDA VIRTUAL ACADEMY AT PASCO,Florida,FLORIDA,120153008271,JACKSONVILLE,FL ,32256,2-No,1-Yes,4.19
FLORIDA VIRTUAL ACADEMY AT PINELLAS CHARTER SCHOOL,FLORIDA,FLORIDA,120156008335,JACKSONVILLE,FL ,32256,2-No,1-Yes,5.33
FLORIDA VIRTUAL ELEMENTARY SCHOOL,Florida,FLORIDA,120000207976,ORLANDO,FL ,32819,2-No,2-No,47.76
FLORIDA VIRTUAL HIGH SCHOOL,Florida,FLORIDA,120000207982,ORLANDO,FL ,32835,1-Yes,1-Yes,†
FLORIDA VIRTUAL SCHOOL FLEX 6-8,Florida,FLORIDA,120000204145,ORLANDO,FL ,32835,2-No,2-No,0.00
FLORIDA VIRTUAL SCHOOL FLEX 9-12,Florida,FLORIDA,120000204146,ORLANDO,FL ,32835,1-Yes,1-Yes,0.00
FLORIDA VIRTUAL SCHOOL FLEX K-5,Florida,FLORIDA,120000207575,ORLANDO,FL ,32835,2-No,2-No,†
FLORIDA VIRTUAL SCHOOL-DISTRICT OFFICE,Florida,†,120000205415,†,†,†,†,†,†
FLORIDA YOUTH CHALLENGE ACADEMY,Florida,FLORIDA,120030003690,STARKE,FL ,32091,1-Yes,1-Yes,†
FLORIEN HIGH SCHOOL,Louisiana,LOUISIANA,220138001110,Florien,LA ,71429,1-Yes,1-Yes,16.57
FLORIN ELEMENTARY,California,CALIFORNIA,061233001399,Sacramento,CA ,95828,2-No,2-No,23.48
FLORIN HIGH,California,CALIFORNIA,061233009534,Sacramento,CA ,95828,1-Yes,1-Yes,18.24
FLORINE J ABEL ELEMENTARY SCHOOL,Florida,FLORIDA,120123002082,SARASOTA,FL ,34243,2-No,2-No,13.40
FLORIS ELEMENTARY,Virginia,VIRGINIA,510126000470,Herndon,VA ,20171,2-No,2-No,17.78
FLORO TORRENCE SCHOOL 83,Indiana,INDIANA,180477000829,Indianapolis,IN ,46226,2-No,2-No,14.95
FLOROSA ELEMENTARY SCHOOL,Florida,FLORIDA,120138001350,MARY ESTHER,FL ,32569,2-No,2-No,14.08
FLORY ACADEMY OF SCIENCES AND TECHNOLOGY,California,CALIFORNIA,062569007783,Moorpark,CA ,93021,2-No,2-No,21.00
FLOSSIE FLOYD GREEN EL,Texas,TEXAS,480789006950,ALLEN,TX ,75013,2-No,2-No,14.63
FLOSSMOOR HILLS ELEM SCHOOL,Illinois,ILLINOIS,171542001848,Flossmoor,IL ,60422,2-No,2-No,13.96
FLOUR BLUFF EL,Texas,TEXAS,481938001796,CORPUS CHRISTI,TX ,78418,2-No,2-No,15.43
FLOUR BLUFF H S,Texas,TEXAS,481938001797,CORPUS CHRISTI,TX ,78418,1-Yes,1-Yes,15.25
FLOUR BLUFF INT,Texas,TEXAS,481938006252,CORPUS CHRISTI,TX ,78418,2-No,2-No,17.94
FLOUR BLUFF J H,Texas,TEXAS,481938001799,CORPUS CHRISTI,TX ,78418,2-No,2-No,14.95
FLOUR BLUFF PRI,Texas,TEXAS,481938001800,CORPUS CHRISTI,TX ,78418,2-No,2-No,15.23
